time, node_id, port_id, bandwidth
600000, 20, 29, 10.548160
600000, 20, 36, 10.548160
600000, 20, 39, 0.072000
600000, 20, 41, 10.548160
600000, 20, 47, 10.620160
600000, 20, 48, 10.548160
600000, 20, 49, 10.548160
600000, 20, 50, 10.620160
600000, 20, 51, 0.072000
600000, 20, 52, 0.072000
600000, 20, 54, 10.620160
600000, 20, 55, 31.716480
600000, 20, 57, 0.033600
600000, 20, 63, 10.548160
600000, 20, 64, 0.072000
600000, 21, 1, 84.913280
600000, 21, 2, 84.908480
600000, 21, 6, 10.548160
600000, 21, 9, 10.692160
600000, 21, 12, 21.096320
600000, 21, 15, 10.548160
600000, 21, 20, 10.548160
600000, 21, 21, 10.548160
600000, 21, 22, 0.072000
600000, 21, 24, 10.620160
600000, 21, 27, 0.144000
600000, 21, 29, 0.072000
600000, 21, 30, 0.072000
600000, 21, 34, 10.548160
600000, 21, 35, 10.548160
600000, 21, 36, 0.072000
600000, 21, 39, 0.072000
600000, 21, 40, 0.072000
600000, 21, 41, 21.096320
600000, 21, 43, 0.072000
600000, 21, 44, 10.548160
600000, 21, 49, 0.072000
600000, 21, 58, 10.620160
600000, 21, 62, 0.072000
600000, 21, 64, 10.620160
600000, 21, 65, 10.548160
600000, 22, 1, 84.908480
600000, 22, 2, 84.918080
600000, 22, 8, 10.692160
600000, 22, 9, 0.072000
600000, 22, 10, 10.548160
600000, 22, 11, 0.072000
600000, 22, 15, 10.548160
600000, 22, 18, 10.548160
600000, 22, 19, 0.072000
600000, 22, 22, 10.548160
600000, 22, 25, 0.072000
600000, 22, 33, 21.096320
600000, 22, 43, 10.620160
600000, 22, 44, 10.620160
600000, 22, 46, 10.548160
600000, 22, 47, 10.548160
600000, 22, 48, 10.548160
600000, 22, 52, 10.620160
600000, 22, 53, 10.548160
600000, 22, 54, 0.072000
600000, 22, 58, 0.048000
600000, 22, 59, 0.144000
600000, 22, 61, 0.072000
600000, 22, 62, 10.620160
600000, 22, 65, 0.052800
600000, 22, 66, 10.548160
600000, 23, 1, 84.903680
600000, 23, 2, 84.908480
600000, 23, 5, 0.072000
600000, 23, 6, 0.072000
600000, 23, 8, 10.548160
600000, 23, 10, 0.072000
600000, 23, 12, 0.048000
600000, 23, 13, 0.072000
600000, 23, 14, 10.548160
600000, 23, 15, 0.072000
600000, 23, 16, 0.072000
600000, 23, 19, 10.548160
600000, 23, 27, 10.548160
600000, 23, 29, 10.548160
600000, 23, 33, 10.620160
600000, 23, 34, 10.620160
600000, 23, 40, 0.072000
600000, 23, 41, 0.072000
600000, 23, 42, 21.096320
600000, 23, 43, 10.600960
600000, 23, 44, 10.548160
600000, 23, 45, 0.072000
600000, 23, 46, 0.072000
600000, 23, 52, 0.072000
600000, 23, 53, 10.548160
600000, 23, 57, 0.072000
600000, 23, 63, 21.096320
600000, 23, 64, 10.548160
600000, 23, 65, 10.548160
600000, 24, 1, 84.908480
600000, 24, 2, 84.903680
600000, 24, 3, 0.072000
600000, 24, 4, 0.072000
600000, 24, 5, 10.548160
600000, 24, 6, 10.548160
